lat,lon,bulk_density,coarse_fragments,nitrogen,organic_carbon_density,sand,soil_clay,soil_organic_carbon_stock,soil_ph,soil_soc,rainfall_mean,rainfall_std,rainfall_min,rainfall_max,rainfall_q25,rainfall_q75,rainfall_cv
-20.933475597835116,31.287969341696858,146.0,43.0,86.0,126.0,476.0,367.0,29.0,6.0,81.0,39.348743,53.390614,1.871993,332.3397,5.158536,55.777138,1.356857
-17.9035126194615,28.6685721078673,154.0,187.0,61.0,99.0,444.0,292.0,27.0,5.0,58.0,52.451527,70.88309,0.034064025,349.6013,0.7703851,90.43588,1.3514018
-17.195484657921877,31.94963899036708,150.0,86.0,66.0,149.0,559.0,209.0,37.0,6.0,93.0,67.62892,93.657196,0.1472732,491.69067,3.6526232,107.15311,1.384869
-21.28439769306333,30.689258950005847,149.0,67.0,76.0,109.0,531.0,289.0,26.0,5.0,74.0,33.714092,44.413876,1.698149,278.05695,3.6598272,48.220882,1.3173683
-17.146691139150057,31.187780305307363,142.0,81.0,88.0,176.0,570.0,280.0,43.0,5.0,106.0,66.97111,90.43753,0.4681696,481.75766,2.1829562,109.82113,1.3503963
-17.986267473509663,31.3826230378202,155.0,57.0,37.0,114.0,584.0,213.0,35.0,4.0,65.0,76.09298,96.324196,2.4576635,530.00854,4.7883425,116.587395,1.265875
-19.675311560454837,28.75852950285116,153.0,79.0,57.0,111.0,503.0,310.0,35.0,5.0,60.0,48.01858,61.596233,0.8187206,305.62613,1.9183204,76.66961,1.2827582
-20.81905381432358,28.136368082876693,155.0,71.0,59.0,111.0,612.0,238.0,27.0,5.0,54.0,42.404705,58.73455,0.6010221,394.47702,2.5622652,64.2249,1.3850951
-18.796937476795847,32.482520409838216,149.0,74.0,76.0,119.0,575.0,276.0,36.0,6.0,82.0,63.36081,79.512276,2.3566794,438.1877,8.41021,94.19678,1.2549126
-21.027372819419107,30.271011451222204,152.0,83.0,76.0,118.0,665.0,225.0,32.0,6.0,77.0,40.38929,55.539207,1.5510557,350.81546,4.617612,58.55115,1.3750974
-17.472287484341862,31.669496360664052,157.0,41.0,45.0,108.0,613.0,215.0,30.0,5.0,60.0,67.45318,91.59524,0.70177275,456.4575,2.4733977,110.52994,1.3579084
-21.07777861863054,28.704029430179922,156.0,77.0,60.0,102.0,655.0,235.0,24.0,6.0,54.0,37.496975,50.714344,0.7349884,322.2292,3.2524152,54.27589,1.3524916
-18.96883940073591,29.573081624457046,151.0,94.0,58.0,124.0,454.0,313.0,38.0,6.0,75.0,55.861195,74.13094,0.8101006,460.04117,2.8456616,88.46457,1.3270562
-18.326408548960547,31.70756309001448,156.0,55.0,58.0,134.0,608.0,238.0,33.0,5.0,68.0,67.322075,87.45152,0.38040075,462.06647,4.5996785,101.79631,1.2990022
-19.439570277051853,30.175634935782213,153.0,58.0,68.0,119.0,526.0,260.0,34.0,6.0,81.0,58.847363,81.99242,0.73427796,481.3834,3.4139173,88.10865,1.3933066
-16.155847958536253,31.163922248661343,148.0,42.0,95.0,198.0,596.0,288.0,34.0,5.0,130.0,53.491314,81.3025,0.014985589,377.7156,0.39067924,79.095085,1.5199196
-18.131119126453875,32.21951670198508,155.0,42.0,52.0,110.0,615.0,260.0,31.0,5.0,54.0,60.211197,78.93603,0.42073485,388.7132,3.9769678,89.87842,1.3109858
-18.09371046167174,31.322579969490945,153.0,35.0,53.0,106.0,660.0,206.0,34.0,4.0,73.0,69.14526,88.33074,0.13053814,487.97775,3.433304,110.01764,1.2774663
-18.26953059480794,26.759280465211624,148.0,122.0,64.0,123.0,580.0,222.0,32.0,6.0,82.0,48.020752,69.70621,0.030164784,466.16956,0.71718264,73.99325,1.451585
-19.457012794050282,28.88622537129819,153.0,86.0,65.0,120.0,371.0,331.0,39.0,4.0,65.0,51.194454,67.1574,0.22630848,388.23785,2.0413797,84.53936,1.3118101
-18.386673451755083,26.44385913762673,129.0,117.0,53.0,106.0,476.0,222.0,26.0,4179.0,69.0,44.0865,64.084755,0.038505174,448.89676,0.78113276,70.099205,1.4536141
-22.245642014801827,30.57732265047305,149.0,87.0,68.0,108.0,683.0,215.0,25.0,5.0,53.0,32.39809,43.529644,0.4825653,245.1966,5.030741,44.90971,1.3435867
-18.8445124614978,28.133723353035133,153.0,166.0,48.0,112.0,551.0,278.0,28.0,6.0,54.0,44.72493,61.840096,0.06992021,337.64877,1.3013954,69.0348,1.3826762
-18.23009367255114,28.90838587040824,155.0,90.0,69.0,119.0,676.0,234.0,31.0,6.0,58.0,59.24776,77.49329,0.07773837,443.54712,1.3459394,97.02425,1.3079531
-21.124583754325883,28.9564552557317,155.0,69.0,54.0,110.0,668.0,222.0,25.0,6.0,53.0,34.740257,46.591915,0.15232645,286.95532,2.9232278,51.088936,1.3411505
-17.22185676605318,30.473861204733613,146.0,88.0,67.0,118.0,524.0,272.0,34.0,33.0,74.0,64.8987,81.3506,0.2691455,376.0276,2.245269,108.17204,1.2535013
-20.77956015219706,28.655075401738127,153.0,71.0,59.0,110.0,645.0,256.0,24.0,6.0,59.0,39.22656,52.902966,1.0761588,333.20172,2.4331787,58.517895,1.3486518
-21.39265854533195,31.747017116569083,148.0,45.0,75.0,122.0,543.0,314.0,26.0,5.0,87.0,26.747719,37.36552,0.09342366,202.79068,1.7129285,39.06385,1.396961
-20.265301572466942,30.71190619546007,150.0,70.0,75.0,122.0,606.0,262.0,31.0,6.0,81.0,42.125534,60.697002,1.5200362,333.55713,3.729693,57.724266,1.4408602
-19.70861533493533,27.67959329821148,152.0,123.0,52.0,100.0,595.0,223.0,27.0,6.0,55.0,45.144173,60.012493,0.11349324,320.05704,1.5664729,75.540764,1.3293519
-20.74521444211636,31.743746406163,144.0,63.0,123.0,141.0,439.0,373.0,32.0,5.0,114.0,45.948273,62.391922,3.572294,343.85324,6.75641,61.150116,1.3578731
